"Allocation date","Share type","Holding period ends","Acquisition price","Acquisition price (unit)","Quantity","Cost of shares","Cost of shares (unit)","Estimated value","Estimated value (unit)"
"4 Apr 2023","Dividend shares","4 Apr 2026",1.43618,"£","630",904.79,"£",2270.52,"£"
"21 Sept 2022","Dividend shares","21 Sept 2025",1.71229,"£","227",388.69,"£",818.11,"£"
"20 Sept 2023","Dividend shares","20 Sept 2026",1.58233,"£","335",530.08,"£",1207.34,"£"
"5 Apr 2024","Dividend shares","5 Apr 2027",1.86109,"£","588",1094.32,"£",2119.15,"£"
"25 Sept 2024","Dividend shares","25 Sept 2027",2.25500,"£","282",635.91,"£",1016.33,"£"
"8 Apr 2025","Dividend shares","8 Apr 2028",2.70691,"£","459",1242.47,"£",1654.24,"£"
"9 May 2023","Matching shares","9 May 2026",1.53907,"£","97",149.29,"£",349.59,"£"
"7 Jun 2023","Matching shares","7 Jun 2026",1.54938,"£","97",150.29,"£",349.59,"£"
"7 Jul 2023","Matching shares","7 Jul 2026",1.51657,"£","99",150.14,"£",356.80,"£"
"7 Aug 2023","Matching shares","7 Aug 2026",1.50546,"£","99",149.04,"£",356.80,"£"
"7 May 2024","Matching shares","7 May 2027",2.02622,"£","74",149.94,"£",266.70,"£"
"7 Jun 2024","Matching shares","7 Jun 2027",2.16594,"£","69",149.45,"£",248.68,"£"
"8 Jul 2024","Matching shares","8 Jul 2027",2.17391,"£","69",150.00,"£",248.68,"£"
"7 Aug 2024","Matching shares","7 Aug 2027",2.16029,"£","69",149.06,"£",248.68,"£"
"7 May 2025","Matching shares","7 May 2028",2.97745,"£","51",151.85,"£",183.80,"£"
"9 Jun 2025","Matching shares","9 Jun 2028",3.28489,"£","45",147.82,"£",162.18,"£"
"7 Jul 2025","Matching shares","7 Jul 2028",3.31087,"£","46",152.30,"£",165.78,"£"
"7 Aug 2025","Matching shares","7 Aug 2028",3.63230,"£","40",145.29,"£",144.16,"£"
