"Allocation date","Share type","Acquisition price","Acquisition price (unit)","Quantity","Cost of shares","Cost of shares (unit)","Estimated value","Estimated value (unit)"
"13 Jun 2012","Dividend shares",1.69111,"£","9",15.22,"£",32.44,"£"
"31 Mar 2014","Dividend shares",2.33273,"£","55",128.30,"£",198.22,"£"
"17 Dec 2013","Dividend shares",2.56800,"£","15",38.52,"£",54.06,"£"
"25 Sept 2013","Dividend shares",2.73417,"£","12",32.81,"£",43.25,"£"
"13 Jun 2013","Dividend shares",3.04000,"£","9",27.36,"£",32.44,"£"
"19 Mar 2013","Dividend shares",2.93742,"£","31",91.06,"£",111.72,"£"
"12 Dec 2012","Dividend shares",2.49000,"£","11",27.39,"£",39.64,"£"
"12 Sept 2012","Dividend shares",1.86214,"£","14",26.07,"£",50.46,"£"
"30 Jun 2014","Dividend shares",2.25842,"£","19",42.91,"£",68.48,"£"
"29 Sept 2014","Dividend shares",2.29000,"£","21",48.09,"£",75.68,"£"
"18 Dec 2014","Dividend shares",2.30600,"£","20",46.12,"£",72.08,"£"
"7 Apr 2015","Dividend shares",2.47742,"£","66",163.51,"£",237.86,"£"
"22 Jun 2015","Dividend shares",2.63579,"£","19",50.08,"£",68.48,"£"
"22 Sept 2015","Dividend shares",2.58136,"£","22",56.79,"£",79.29,"£"
"17 Dec 2015","Dividend shares",2.13769,"£","26",55.58,"£",93.70,"£"
"7 Apr 2016","Dividend shares",1.49285,"£","137",204.52,"£",493.75,"£"
"23 Sept 2016","Dividend shares",1.68591,"£","44",74.18,"£",158.58,"£"
"10 Apr 2017","Dividend shares",2.17900,"£","70",152.53,"£",252.28,"£"
"20 Sept 2017","Dividend shares",1.88766,"£","47",88.72,"£",169.39,"£"
"9 Apr 2018","Dividend shares",2.08506,"£","85",177.23,"£",306.34,"£"
"19 Sept 2018","Dividend shares",1.71223,"£","139",238.00,"£",500.96,"£"
"8 Apr 2019","Dividend shares",1.61949,"£","253",409.73,"£",911.81,"£"
"25 Sept 2019","Dividend shares",1.49264,"£","231",344.80,"£",832.52,"£"
"7 Apr 2021","Dividend shares",1.85013,"£","77",142.46,"£",277.51,"£"
"21 Sept 2021","Dividend shares",1.80231,"£","169",304.59,"£",609.08,"£"
"7 Apr 2022","Dividend shares",1.46398,"£","435",636.83,"£",1567.74,"£"
"14 Jun 2011","Dividend shares",1.73667,"£","3",5.21,"£",10.81,"£"
"13 Sept 2011","Dividend shares",1.38500,"£","12",16.62,"£",43.25,"£"
"13 Dec 2011","Dividend shares",1.64889,"£","9",14.84,"£",32.44,"£"
"22 Mar 2012","Dividend shares",2.25238,"£","21",47.30,"£",75.68,"£"
"7 Aug 2020","Matching shares",1.04566,"£","143",149.53,"£",515.37,"£"
"7 Apr 2011","Matching shares",2.64482,"£","226",597.73,"£",814.50,"£"
"9 May 2011","Matching shares",2.58286,"£","49",126.56,"£",176.60,"£"
"7 Jun 2011","Matching shares",2.52200,"£","50",126.10,"£",180.20,"£"
"7 Jul 2011","Matching shares",2.39159,"£","145",346.78,"£",522.58,"£"
"8 May 2012","Matching shares",1.99320,"£","300",597.96,"£",1081.20,"£"
"7 May 2013","Matching shares",2.67830,"£","223",597.26,"£",803.69,"£"
"7 May 2014","Matching shares",2.52422,"£","237",598.24,"£",854.15,"£"
"7 May 2015","Matching shares",2.53250,"£","172",435.59,"£",619.89,"£"
"8 Jun 2015","Matching shares",2.67426,"£","61",163.13,"£",219.84,"£"
"9 May 2016","Matching shares",1.64330,"£","271",445.33,"£",976.68,"£"
"7 Jul 2016","Matching shares",1.36522,"£","113",154.27,"£",407.25,"£"
"8 May 2017","Matching shares",2.09848,"£","217",455.37,"£",782.07,"£"
"7 Jun 2017","Matching shares",2.10632,"£","68",143.23,"£",245.07,"£"
"8 May 2018","Matching shares",2.05288,"£","73",149.86,"£",263.09,"£"
"7 Jun 2018","Matching shares",2.00533,"£","75",150.40,"£",270.30,"£"
"9 Jul 2018","Matching shares",1.86000,"£","81",150.66,"£",291.92,"£"
"7 Aug 2018","Matching shares",1.89885,"£","78",148.11,"£",281.11,"£"
"7 May 2019","Matching shares",1.64143,"£","91",149.37,"£",327.96,"£"
"7 Jun 2019","Matching shares",1.51323,"£","99",149.81,"£",356.80,"£"
"8 Jul 2019","Matching shares",1.54887,"£","97",150.24,"£",349.59,"£"
"7 Aug 2019","Matching shares",1.51525,"£","99",150.01,"£",356.80,"£"
"7 May 2020","Matching shares",1.02514,"£","146",149.67,"£",526.18,"£"
"8 Jun 2020","Matching shares",1.24099,"£","121",150.16,"£",436.08,"£"
"7 Jul 2020","Matching shares",1.15769,"£","130",150.50,"£",468.52,"£"
