"Allocation date","Share type","Tax-free from","Acquisition price","Acquisition price (unit)","Quantity","Cost of shares","Cost of shares (unit)","Estimated value","Estimated value (unit)"
"8 Aug 2022","Matching shares","8 Aug 20278 August 2027",1.61924,"£","92",148.97,"£",331.57,"£"
"7 May 2021","Matching shares","7 May 20267 May 2026",1.77786,"£","84",149.34,"£",302.74,"£"
"7 Jun 2021","Matching shares","7 Jun 20267 June 2026",1.85074,"£","81",149.91,"£",291.92,"£"
"7 Jul 2021","Matching shares","7 Jul 20267 July 2026",1.73598,"£","87",151.03,"£",313.55,"£"
"9 Aug 2021","Matching shares","9 Aug 20269 August 2026",1.78687,"£","83",148.31,"£",299.13,"£"
"9 May 2022","Matching shares","9 May 20279 May 2027",1.49640,"£","100",149.64,"£",360.40,"£"
"7 Jun 2022","Matching shares","7 Jun 20277 June 2027",1.69955,"£","88",149.56,"£",317.15,"£"
"7 Jul 2022","Matching shares","7 Jul 20277 July 2027",1.51230,"£","100",151.23,"£",360.40,"£"
"11 Apr 2023","Partnership shares","11 Apr 202811 April 2028",1.47980,"£","102",150.94,"£",367.61,"£"
"7 Mar 2023","Partnership shares","7 Mar 20287 March 2028",1.72931,"£","87",150.45,"£",313.55,"£"
"7 Feb 2023","Partnership shares","7 Feb 20287 February 2028",1.87188,"£","80",149.75,"£",288.32,"£"
"9 Jan 2023","Partnership shares","9 Jan 20289 January 2028",1.66955,"£","89",148.59,"£",320.76,"£"
"7 Dec 2022","Partnership shares","7 Dec 20277 December 2027",1.58284,"£","95",150.37,"£",342.38,"£"
"7 Nov 2022","Partnership shares","7 Nov 20277 November 2027",1.50250,"£","100",150.25,"£",360.40,"£"
"7 Oct 2022","Partnership shares","7 Oct 20277 October 2027",1.46510,"£","102",149.44,"£",367.61,"£"
"7 Sept 2022","Partnership shares","7 Sept 20277 September 2027",1.64337,"£","92",151.19,"£",331.57,"£"
"8 Aug 2022","Partnership shares","8 Aug 20278 August 2027",1.61935,"£","92",148.98,"£",331.57,"£"
"7 Jul 2022","Partnership shares","7 Jul 20277 July 2027",1.51240,"£","100",151.24,"£",360.40,"£"
"7 Jun 2022","Partnership shares","7 Jun 20277 June 2027",1.69966,"£","88",149.57,"£",317.15,"£"
"9 May 2022","Partnership shares","9 May 20279 May 2027",1.49650,"£","100",149.65,"£",360.40,"£"
"7 Apr 2022","Partnership shares","7 Apr 20277 April 2027",1.46398,"£","103",150.79,"£",371.21,"£"
"7 Mar 2022","Partnership shares","7 Mar 20277 March 2027",1.71770,"£","87",149.44,"£",313.55,"£"
"7 Feb 2022","Partnership shares","7 Feb 20277 February 2027",2.01293,"£","75",150.97,"£",270.30,"£"
"7 Jan 2022","Partnership shares","7 Jan 20277 January 2027",1.94026,"£","77",149.40,"£",277.51,"£"
"7 Dec 2021","Partnership shares","7 Dec 20267 December 2026",1.86975,"£","80",149.58,"£",288.32,"£"
"8 Nov 2021","Partnership shares","8 Nov 20268 November 2026",1.96553,"£","76",149.38,"£",273.90,"£"
"7 Oct 2021","Partnership shares","7 Oct 20267 October 2026",1.90253,"£","79",150.30,"£",284.72,"£"
"7 Sept 2021","Partnership shares","7 Sept 20267 September 2026",1.84938,"£","81",149.80,"£",291.92,"£"
"9 Aug 2021","Partnership shares","9 Aug 20269 August 2026",1.78702,"£","84",150.11,"£",302.74,"£"
"7 Jul 2021","Partnership shares","7 Jul 20267 July 2026",1.73609,"£","87",151.04,"£",313.55,"£"
"7 Jun 2021","Partnership shares","7 Jun 20267 June 2026",1.85086,"£","81",149.92,"£",291.92,"£"
"7 May 2021","Partnership shares","7 May 20267 May 2026",1.77798,"£","84",149.35,"£",302.74,"£"
"7 Apr 2021","Partnership shares","7 Apr 20267 April 2026",1.85012,"£","81",149.86,"£",291.92,"£"
"8 Mar 2021","Partnership shares","8 Mar 20268 March 2026",1.66433,"£","90",149.79,"£",324.36,"£"
"8 Feb 2021","Partnership shares","8 Feb 20268 February 2026",1.41972,"£","106",150.49,"£",382.02,"£"
"7 Jan 2021","Partnership shares","7 Jan 20267 January 2026",1.47471,"£","102",150.42,"£",367.61,"£"
"7 Dec 2020","Partnership shares","7 Dec 20257 December 2025",1.44388,"£","103",148.72,"£",371.21,"£"
"9 Nov 2020","Partnership shares","9 Nov 20259 November 2025",1.10382,"£","136",150.12,"£",490.14,"£"
"7 Oct 2020","Partnership shares","7 Oct 20257 October 2025",0.99391,"£","151",150.08,"£",544.20,"£"
"7 Sept 2020","Partnership shares","7 Sept 20257 September 2025",1.06766,"£","141",150.54,"£",508.16,"£"
"7 Apr 2025","Partnership shares","7 Apr 20307 April 2030",2.79887,"£","53",148.34,"£",191.01,"£"
"7 Mar 2025","Partnership shares","7 Mar 20307 March 2030",3.05347,"£","49",149.62,"£",176.60,"£"
"7 Feb 2025","Partnership shares","7 Feb 20307 February 2030",2.96922,"£","51",151.43,"£",183.80,"£"
"7 Jan 2025","Partnership shares","7 Jan 20307 January 2030",2.67821,"£","56",149.98,"£",201.82,"£"
"9 Dec 2024","Partnership shares","9 Dec 20299 December 2029",2.64386,"£","57",150.70,"£",205.43,"£"
"7 Nov 2024","Partnership shares","7 Nov 20297 November 2029",2.44934,"£","61",149.41,"£",219.84,"£"
"7 Oct 2024","Partnership shares","7 Oct 20297 October 2029",2.22015,"£","67",148.75,"£",241.47,"£"
"9 Sept 2024","Partnership shares","9 Sept 20299 September 2029",2.24672,"£","67",150.53,"£",241.47,"£"
"8 Apr 2024","Partnership shares","8 Apr 20298 April 2029",1.87763,"£","80",150.21,"£",288.32,"£"
"7 Mar 2024","Partnership shares","7 Mar 20297 March 2029",1.68909,"£","88",148.64,"£",317.15,"£"
"7 Feb 2024","Partnership shares","7 Feb 20297 February 2029",1.47441,"£","102",150.39,"£",367.61,"£"
"8 Jan 2024","Partnership shares","8 Jan 20298 January 2029",1.54680,"£","97",150.04,"£",349.59,"£"
"7 Dec 2023","Partnership shares","7 Dec 20287 December 2028",1.41217,"£","106",149.69,"£",382.02,"£"
"7 Nov 2023","Partnership shares","7 Nov 20287 November 2028",1.33372,"£","113",150.71,"£",407.25,"£"
"9 Oct 2023","Partnership shares","9 Oct 20289 October 2028",1.54258,"£","97",149.63,"£",349.59,"£"
"7 Sept 2023","Partnership shares","7 Sept 20287 September 2028",1.49218,"£","101",150.71,"£",364.00,"£"
